Project,Scenario,Dollar_year,Weather_year,Start_day,r,state,gea,country,tz,t
Cambium23,MidCase,2022$,2012,Sunday,p131,MA,ISONE,usa,ET,2050
Metric definitions and scenario descriptions: 2023 Cambium Documentation (https://www.nrel.gov/docs/fy24osti/88507.pdf)
Time,Time,Load,Load,Load,Load,Load,Load,Load,Transmission,Transmission,Operational,Operational,Operational,Operational,Clean Energy Fraction,Clean Energy Fraction,Emissions,Emissions,Emissions,Emissions,Emissions,Emissions,Emissions,Emissions,Emissions,Emissions,Emissions,Emissions,Emissions,Emissions,Emissions,Emissions,Emissions,Emissions,Emissions,Emissions,Emissions,Emissions,Emissions,Emissions,Emissions,Emissions,Emissions,Emissions,Emissions,Emissions,Emissions,Emissions,Emissions,Emissions,Emissions,Emissions,Busbar costs,Busbar costs,Busbar costs,Busbar costs,End use cost,End use cost,End use cost,End use cost,Curtailment,Curtailment,Curtailment,Generation,Generation,Generation,Generation,Generation,Generation,Generation,Generation,Generation,Generation,Generation,Generation,Generation,Generation,Generation,Generation,Generation,Generation,Generation,Generation,Generation,Generation
Datetime,Datetime,MWh,MWh,MWh,MWh,MWh,MWh,MWh,MWh,MWh,MWh/MWh,MWh/MWh,unitless,unitless,fraction,fraction,kg/MWh,g/MWh,g/MWh,kg/MWh,g/MWh,g/MWh,kg/MWh,kg/MWh,kg/MWh,kg/MWh,g/MWh,g/MWh,kg/MWh,g/MWh,g/MWh,kg/MWh,kg/MWh,kg/MWh,kg/MWh,g/MWh,g/MWh,kg/MWh,g/MWh,g/MWh,kg/MWh,kg/MWh,kg/MWh,kg/MWh,g/MWh,g/MWh,kg/MWh,g/MWh,g/MWh,kg/MWh,kg/MWh,kg/MWh,$/MWh,$/MWh,$/MWh,$/MWh,$/MWh,$/MWh,$/MWh,$/MWh,MWh,MWh,MWh,MWh,MWh,MWh,MWh,MWh,MWh,MWh,MWh,MWh,MWh,MWh,MWh,MWh,MWh,MWh,MWh,MWh,MWh,MWh,MWh,MWh,MWh
timestamp,timestamp_local,busbar_load_for_enduse,battery_charging,phs_charging,trans_losses,busbar_load,enduse_load,net_load_busbar,imports,exports,distloss_rate_avg,distloss_rate_marg,marg_gen_tech,marg_es_tech,cef_gen,cef_load,aer_gen_co2_c,aer_gen_ch4_c,aer_gen_n2o_c,aer_gen_co2_p,aer_gen_ch4_p,aer_gen_n2o_p,aer_gen_co2e_c,aer_gen_co2e_p,aer_gen_co2e,aer_load_co2_c,aer_load_ch4_c,aer_load_n2o_c,aer_load_co2_p,aer_load_ch4_p,aer_load_n2o_p,aer_load_co2e_c,aer_load_co2e_p,aer_load_co2e,lrmer_co2_c,lrmer_ch4_c,lrmer_n2o_c,lrmer_co2_p,lrmer_ch4_p,lrmer_n2o_p,lrmer_co2e_c,lrmer_co2e_p,lrmer_co2e,srmer_co2_c,srmer_ch4_c,srmer_n2o_c,srmer_co2_p,srmer_ch4_p,srmer_n2o_p,srmer_co2e_c,srmer_co2e_p,srmer_co2e,energy_cost_busbar,capacity_cost_busbar,portfolio_cost_busbar,total_cost_busbar,energy_cost_enduse,capacity_cost_enduse,portfolio_cost_enduse,total_cost_enduse,curt_wind_MWh,curt_solar_MWh,curtailment_MWh,generation,variable_generation,battery_MWh,biomass_MWh,beccs_MWh,canada_MWh,coal_MWh,coal-ccs_MWh,csp_MWh,distpv_MWh,gas-cc_MWh,gas-cc-ccs_MWh,gas-ct_MWh,geothermal_MWh,hydro_MWh,nuclear_MWh,o-g-s_MWh,phs_MWh,h2-ct_MWh,upv_MWh,wind-ons_MWh,wind-ofs_MWh
2050-01-01 00:00:00,2050-01-01 00:00:00,9376.8,0.0,0.0,26.1,9402.9,9073.3,5051.8,3681.4,0.0,0.0324,0.0438,gas-cc,gas-cc,1.0,1.0,0.0,0.0,0.0,1.0,1.2,0.0,0.0,1.0,1.0,0.8,0.0,0.0,0.3,6.1,0.0,0.8,0.5,1.2,20.5,0.4,0.04,2.4,152.5,0.01,20.5,6.9,27.5,386.0,7.3,0.73,45.6,2912.5,0.17,386.4,132.4,518.8,21.76,0.0,19.43,41.19,22.75,0.0,20.32,43.08,0.0,0.0,0.0,5721.5,4351.2,0.0,129.7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,156.8,0.0,0.0,1083.8,0.0,0.0,528.9,3822.3
2050-01-01 01:00:00,2050-01-01 01:00:00,8548.4,0.0,0.0,20.3,8568.7,8279.6,3923.0,2968.5,0.0,0.0314,0.0399,gas-cc,gas-cc,1.0,1.0,0.0,0.0,0.0,1.0,1.3,0.0,0.0,1.1,1.1,0.5,0.0,0.0,0.3,4.2,0.0,0.5,0.4,0.9,12.3,0.2,0.02,1.4,91.9,0.01,12.3,4.2,16.5,384.4,7.2,0.72,45.4,2900.7,0.17,384.8,131.9,516.7,21.76,0.0,19.51,41.27,22.66,0.0,20.32,42.98,0.0,0.0,0.0,5600.2,4645.7,0.0,129.7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,156.8,0.0,0.0,668.0,0.0,0.0,520.6,4125.2
2050-01-01 02:00:00,2050-01-01 02:00:00,7969.5,0.0,0.0,22.3,7991.7,7723.0,3428.5,3139.3,0.0,0.0309,0.0372,phs,gas-cc,1.0,1.0,0.0,0.0,0.0,1.2,1.4,0.01,0.0,1.2,1.2,0.0,0.0,0.0,0.2,0.4,0.0,0.0,0.2,0.2,23.0,0.4,0.04,2.7,172.9,0.01,23.0,7.9,30.9,372.6,7.0,0.7,44.0,2812.0,0.16,373.0,127.9,500.9,21.76,0.0,19.57,41.32,22.6,0.0,20.32,42.92,0.0,0.0,0.0,4852.4,4563.3,2.6,129.7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,156.8,0.0,0.0,0.0,0.0,0.0,522.4,4040.8
2050-01-01 03:00:00,2050-01-01 03:00:00,7621.1,0.0,0.0,17.2,7638.3,7387.3,3541.1,2468.9,0.0,0.0307,0.0356,phs,gas-cc,1.0,1.0,0.0,0.0,0.0,1.1,1.4,0.0,0.0,1.2,1.2,0.7,0.0,0.0,0.3,5.4,0.0,0.7,0.5,1.1,10.1,0.2,0.02,1.2,74.3,0.0,10.1,3.4,13.5,378.2,7.1,0.71,44.7,2853.9,0.16,378.6,129.8,508.4,21.76,0.0,19.6,41.36,22.56,0.0,20.32,42.88,0.0,0.0,0.0,5169.3,4097.2,0.0,129.7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,156.8,0.0,0.0,785.7,0.0,0.0,483.2,3614.0
2050-01-01 04:00:00,2050-01-01 04:00:00,7383.2,0.0,0.0,25.0,7408.2,7157.7,3902.8,3303.6,0.0,0.0305,0.0345,gas-cc,gas-cc,1.0,1.0,0.0,0.0,0.0,1.4,1.7,0.01,0.0,1.5,1.5,0.3,0.0,0.0,0.3,2.6,0.0,0.3,0.4,0.7,12.3,0.2,0.03,1.4,90.5,0.01,12.3,4.1,16.4,382.2,7.2,0.72,45.2,2884.4,0.17,382.6,131.2,513.8,21.76,0.0,19.62,41.38,22.53,0.0,20.32,42.86,0.0,0.0,0.0,4104.6,3505.4,0.0,129.7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,156.8,0.0,0.0,312.7,0.0,0.0,453.2,3052.1
2050-01-01 05:00:00,2050-01-01 05:00:00,7416.8,0.0,0.0,23.2,7440.1,7190.2,4561.4,2788.0,0.0,0.0306,0.0347,gas-cc,gas-cc,1.0,1.0,0.0,0.0,0.0,1.2,1.5,0.01,0.0,1.3,1.3,1.3,0.0,0.0,0.4,10.3,0.0,1.3,0.7,2.0,14.7,0.3,0.03,1.7,108.4,0.01,14.7,5.0,19.6,382.3,7.2,0.72,45.2,2884.8,0.17,382.7,131.2,513.9,21.76,0.0,19.62,41.37,22.54,0.0,20.32,42.86,0.0,0.0,0.0,4652.1,2878.7,0.0,129.7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,156.8,0.0,0.0,1486.9,0.0,0.0,405.1,2473.6
2050-01-01 06:00:00,2050-01-01 06:00:00,7847.4,0.0,0.0,40.3,7887.7,7605.4,5851.1,4562.4,533.4,0.0308,0.0367,battery,gas-cc,1.0,1.0,0.0,0.0,0.0,1.5,1.8,0.01,0.0,1.5,1.5,1.2,0.0,0.0,0.5,9.8,0.01,1.2,0.8,2.0,7.5,0.2,0.02,0.9,55.4,0.0,7.5,2.5,10.0,372.4,7.0,0.7,44.0,2810.4,0.16,372.8,127.8,500.6,22.07,0.0,19.58,41.65,22.91,0.0,20.32,43.23,0.0,0.0,0.0,3858.7,2036.5,48.7,129.7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,156.8,0.0,0.0,1486.9,0.0,0.0,316.3,1720.2
2050-01-01 07:00:00,2050-01-01 07:00:00,8274.7,0.0,0.0,45.3,8320.0,8016.7,6283.5,5161.8,486.8,0.0312,0.0387,gas-cc,gas-cc,1.0,1.0,0.0,0.0,0.0,1.6,1.9,0.01,0.0,1.6,1.6,1.0,0.0,0.0,0.5,8.3,0.01,1.0,0.8,1.8,14.3,0.3,0.03,1.7,105.6,0.01,14.3,4.8,19.1,383.9,7.2,0.72,45.3,2896.9,0.17,384.3,131.7,516.0,22.07,0.0,19.54,41.61,22.96,0.0,20.32,43.28,0.0,0.0,0.0,3645.0,2036.6,48.7,129.7,0.0,0.0,0.0,0.0,0.0,583.1,0.0,0.0,0.0,0.0,156.8,0.0,0.0,1273.2,0.0,235.9,190.1,1027.5
