Year Low Mid High Low Mid High
2024 1.00 1.00 1.00 334 334 334
2025 0.88 0.96 1.05 295 321 350
2026 0.77 0.92 1.10 255 308 366
2027 0.73 0.90 1.09 243 301 363
2028 0.69 0.88 1.08 231 293 360
2029 0.66 0.86 1.07 219 286 357
2030 0.62 0.84 1.06 207 279 354
2031 0.59 0.81 1.05 195 272 351
2032 0.55 0.79 1.04 183 265 348
2033 0.51 0.77 1.03 171 257 345
2034 0.48 0.75 1.03 159 250 342
2035 0.44 0.73 1.02 147 243 339
2036 0.43 0.71 1.01 145 239 337
2037 0.43 0.70 1.00 142 234 335
2038 0.42 0.69 1.00 139 230 333
2039 0.41 0.68 0.99 137 226 331
2040 0.40 0.66 0.98 134 221 329
2041 0.39 0.65 0.98 132 217 326
2042 0.39 0.64 0.97 129 213 324
2043 0.38 0.62 0.97 126 209 322
2044 0.37 0.61 0.96 124 204 320
2045 0.36 0.60 0.95 121 200 318
2046 0.35 0.59 0.95 118 196 316
2047 0.35 0.57 0.94 116 191 314
2048 0.34 0.56 0.93 113 187 312
2049 0.33 0.55 0.93 110 183 309
2050 0.32 0.53 0.92 108 178 307
