H,Day,Hour,Location ID,Network Node Description,MW Factor,Energy Component,Congestion Component,Marginal Loss Component,Price
D,2024-01-01,1,16255,LD.CANDLE  13.2,20.0,53.36,0.0,0.8,54.16
D,2024-01-01,2,16255,LD.CANDLE  13.2,19.0,35.6,0.0,0.5,36.1
D,2024-01-01,3,16255,LD.CANDLE  13.2,19.0,29.53,0.0,0.4,29.93
D,2024-01-01,4,16255,LD.CANDLE  13.2,19.0,29.13,0.0,0.38,29.51
D,2024-01-01,5,16255,LD.CANDLE  13.2,19.0,28.11,0.0,0.37,28.48
D,2024-01-01,6,16255,LD.CANDLE  13.2,19.0,27.75,0.0,0.38,28.13
D,2024-01-01,7,16255,LD.CANDLE  13.2,19.0,27.77,0.0,0.4,28.17
D,2024-01-01,8,16255,LD.CANDLE  13.2,20.0,25.81,0.0,0.35,26.16
D,2024-01-01,9,16255,LD.CANDLE  13.2,20.0,25.65,0.0,0.33,25.98
D,2024-01-01,10,16255,LD.CANDLE  13.2,19.0,27.02,0.0,0.3,27.32
D,2024-01-01,11,16255,LD.CANDLE  13.2,20.0,27.4,0.0,0.28,27.68
D,2024-01-01,12,16255,LD.CANDLE  13.2,20.0,27.84,0.0,0.3,28.14
D,2024-01-01,13,16255,LD.CANDLE  13.2,20.0,26.36,0.0,0.24,26.6
D,2024-01-01,14,16255,LD.CANDLE  13.2,18.0,27.55,0.0,0.23,27.78
D,2024-01-01,15,16255,LD.CANDLE  13.2,17.0,31.19,0.0,0.32,31.51
D,2024-01-01,16,16255,LD.CANDLE  13.2,19.0,43.66,0.0,0.59,44.25
D,2024-01-01,17,16255,LD.CANDLE  13.2,21.0,47.62,0.0,0.79,48.41
D,2024-01-01,18,16255,LD.CANDLE  13.2,23.0,50.86,0.0,0.97,51.83
D,2024-01-01,19,16255,LD.CANDLE  13.2,24.0,49.65,0.0,0.99,50.64
D,2024-01-01,20,16255,LD.CANDLE  13.2,24.0,47.67,0.0,0.92,48.59
D,2024-01-01,21,16255,LD.CANDLE  13.2,23.0,55.09,0.0,0.95,56.04
D,2024-01-01,22,16255,LD.CANDLE  13.2,23.0,58.61,0.0,0.97,59.58
D,2024-01-01,23,16255,LD.CANDLE  13.2,22.0,38.85,0.0,0.68,39.53
D,2024-01-01,24,16255,LD.CANDLE  13.2,21.0,28.1,0.0,0.54,28.64
D,2024-01-02,1,16255,LD.CANDLE  13.2,20.0,30.93,0.0,0.54,31.47
D,2024-01-02,2,16255,LD.CANDLE  13.2,20.0,29.49,0.0,0.5,29.99
D,2024-01-02,3,16255,LD.CANDLE  13.2,20.0,28.63,0.0,0.48,29.11
D,2024-01-02,4,16255,LD.CANDLE  13.2,20.0,28.89,0.0,0.49,29.38
D,2024-01-02,5,16255,LD.CANDLE  13.2,20.0,30.09,0.0,0.5,30.59
