,index,H,Day,Hour,Location ID,Network Node Description,MW Factor,Energy Component,Congestion Component,Marginal Loss Component,Price
0,84,D,2024-07-01,1,16255,LD.CANDLE  13.2,28.0,25.94,0.0,0.52,26.46
1,177,D,2024-07-01,2,16255,LD.CANDLE  13.2,26.0,28.7,0.0,0.49,29.19
2,270,D,2024-07-01,3,16255,LD.CANDLE  13.2,24.0,23.7,0.0,0.45,24.15
3,363,D,2024-07-01,4,16255,LD.CANDLE  13.2,24.0,23.16,0.0,0.48,23.64
4,456,D,2024-07-01,5,16255,LD.CANDLE  13.2,23.0,24.01,0.0,0.5,24.51
5,549,D,2024-07-01,6,16255,LD.CANDLE  13.2,23.0,22.48,0.0,0.46,22.94
6,642,D,2024-07-01,7,16255,LD.CANDLE  13.2,23.0,22.77,0.0,0.48,23.25
7,735,D,2024-07-01,8,16255,LD.CANDLE  13.2,27.0,23.12,0.0,0.45,23.57
8,827,D,2024-07-01,9,16255,LD.CANDLE  13.2,30.0,24.01,0.0,0.41,24.42
9,916,D,2024-07-01,10,16255,LD.CANDLE  13.2,34.0,22.94,0.0,0.36,23.3
10,1001,D,2024-07-01,11,16255,LD.CANDLE  13.2,32.0,22.15,0.0,0.28,22.43
11,1086,D,2024-07-01,12,16255,LD.CANDLE  13.2,32.0,23.0,0.0,0.26,23.26
12,1169,D,2024-07-01,13,16255,LD.CANDLE  13.2,33.0,23.02,0.0,0.27,23.29
13,1256,D,2024-07-01,14,16255,LD.CANDLE  13.2,32.0,23.91,0.0,0.29,24.2
14,1341,D,2024-07-01,15,16255,LD.CANDLE  13.2,31.0,29.51,0.0,0.35,29.86
15,1426,D,2024-07-01,16,16255,LD.CANDLE  13.2,31.0,23.36,0.0,0.32,23.68
16,1516,D,2024-07-01,17,16255,LD.CANDLE  13.2,33.0,26.91,0.0,0.37,27.28
17,1609,D,2024-07-01,18,16255,LD.CANDLE  13.2,35.0,29.05,0.0,0.46,29.51
18,1702,D,2024-07-01,19,16255,LD.CANDLE  13.2,38.0,34.67,0.0,0.64,35.31
19,1796,D,2024-07-01,20,16255,LD.CANDLE  13.2,38.0,47.9,0.0,0.92,48.82
20,1889,D,2024-07-01,21,16255,LD.CANDLE  13.2,36.0,46.64,0.0,0.86,47.5
21,1982,D,2024-07-01,22,16255,LD.CANDLE  13.2,36.0,43.22,0.0,0.83,44.05
22,2075,D,2024-07-01,23,16255,LD.CANDLE  13.2,34.0,30.14,0.0,0.51,30.65
23,2168,D,2024-07-01,24,16255,LD.CANDLE  13.2,30.0,30.9,0.0,0.48,31.38
24,2261,D,2024-07-02,1,16255,LD.CANDLE  13.2,26.0,22.8,0.0,0.42,23.22
25,2354,D,2024-07-02,2,16255,LD.CANDLE  13.2,24.0,23.55,0.0,0.46,24.01
26,2447,D,2024-07-02,3,16255,LD.CANDLE  13.2,23.0,22.28,0.0,0.41,22.69
27,2540,D,2024-07-02,4,16255,LD.CANDLE  13.2,25.0,22.13,0.0,0.37,22.5
28,2633,D,2024-07-02,5,16255,LD.CANDLE  13.2,22.0,22.95,0.0,0.33,23.28
29,2726,D,2024-07-02,6,16255,LD.CANDLE  13.2,22.0,24.96,0.0,0.35,25.31
30,2819,D,2024-07-02,7,16255,LD.CANDLE  13.2,23.0,24.58,0.0,0.39,24.97
31,2912,D,2024-07-02,8,16255,LD.CANDLE  13.2,25.0,22.41,0.0,0.37,22.78
32,3004,D,2024-07-02,9,16255,LD.CANDLE  13.2,28.0,22.78,0.0,0.35,23.13
33,3091,D,2024-07-02,10,16255,LD.CANDLE  13.2,31.0,22.26,0.0,0.28,22.54
34,3174,D,2024-07-02,11,16255,LD.CANDLE  13.2,31.0,22.67,0.0,0.24,22.91
35,3257,D,2024-07-02,12,16255,LD.CANDLE  13.2,32.0,23.64,0.0,0.23,23.87
36,3340,D,2024-07-02,13,16255,LD.CANDLE  13.2,32.0,26.52,0.0,0.24,26.76
37,3422,D,2024-07-02,14,16255,LD.CANDLE  13.2,32.0,34.62,0.0,0.29,34.91
38,3507,D,2024-07-02,15,16255,LD.CANDLE  13.2,32.0,40.89,0.0,0.38,41.27
39,3594,D,2024-07-02,16,16255,LD.CANDLE  13.2,33.0,31.53,0.0,0.41,31.94
40,3683,D,2024-07-02,17,16255,LD.CANDLE  13.2,36.0,36.91,0.0,0.6,37.51
41,3774,D,2024-07-02,18,16255,LD.CANDLE  13.2,38.0,41.74,0.0,0.77,42.51
42,3867,D,2024-07-02,19,16255,LD.CANDLE  13.2,41.0,45.27,0.0,0.97,46.24
